iccs,leg_stat,sex,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ICCS0101,PER_CNV,F,NR,AL	2 	3 	5 	3 	4 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,F,NR,AT	2 	4 	4 	4 	5 	4 	3 	3 	3 	6 
ICCS0101,PER_CNV,F,NR,BA	14 	8 	11 	14 	24 	6 	6 	: 	: 	: 
ICCS0101,PER_CNV,F,NR,BE	: 	: 	26 	20 	22 	21 	33 	24 	: 	: 
ICCS0101,PER_CNV,F,NR,BG	2 	5 	5 	8 	11 	10 	7 	13 	9 	9 
ICCS0101,PER_CNV,F,NR,CH	2 	5 	5 	1 	4 	5 	7 	7 	7 	5 
ICCS0101,PER_CNV,F,NR,CY	3 	0 	0 	0 	0 	1 	0 	2 	0 	1 
ICCS0101,PER_CNV,F,NR,CZ	13 	17 	14 	21 	18 	13 	23 	19 	11 	15 
ICCS0101,PER_CNV,F,NR,DE	40 	31 	36 	33 	29 	29 	39 	38 	48 	: 
ICCS0101,PER_CNV,F,NR,DK	3 	4 	3 	6 	4 	3 	2 	6 	1 	1 
ICCS0101,PER_CNV,F,NR,EE	7 	2 	4 	4 	8 	3 	2 	3 	: 	: 
ICCS0101,PER_CNV,F,NR,ES	23 	27 	29 	20 	11 	9 	: 	: 	: 	: 
ICCS0101,PER_CNV,F,NR,FI	4 	4 	8 	7 	14 	7 	13 	7 	14 	7 
ICCS0101,PER_CNV,F,NR,FR	51 	55 	47 	46 	49 	53 	57 	80 	68 	80 
ICCS0101,PER_CNV,F,NR,HR	9 	9 	1 	2 	8 	6 	5 	3 	4 	1 
ICCS0101,PER_CNV,F,NR,HU	32 	31 	23 	31 	20 	12 	19 	18 	27 	27 
ICCS0101,PER_CNV,F,NR,IS	: 	0 	1 	: 	0 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,F,NR,IT	24 	29 	28 	15 	22 	13 	15 	25 	19 	16 
ICCS0101,PER_CNV,F,NR,LT	13 	12 	10 	20 	22 	23 	18 	16 	12 	23 
ICCS0101,PER_CNV,F,NR,LU	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,F,NR,LV	8 	9 	10 	13 	18 	7 	6 	13 	6 	8 
ICCS0101,PER_CNV,F,NR,ME	0 	1 	1 	2 	5 	0 	0 	0 	0 	: 
ICCS0101,PER_CNV,F,NR,MK	: 	: 	: 	1 	2 	2 	2 	2 	2 	1 
ICCS0101,PER_CNV,F,NR,MT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
ICCS0101,PER_CNV,F,NR,NL	44 	34 	40 	41 	59 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,F,NR,NO	: 	2 	7 	1 	5 	3 	0 	2 	0 	2 
ICCS0101,PER_CNV,F,NR,PT	6 	7 	13 	12 	17 	8 	10 	6 	11 	8 
ICCS0101,PER_CNV,F,NR,RO	66 	: 	49 	46 	55 	33 	49 	48 	65 	53 
ICCS0101,PER_CNV,F,NR,RS	11 	9 	12 	9 	9 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,F,NR,SE	15 	12 	10 	7 	16 	9 	10 	17 	14 	11 
ICCS0101,PER_CNV,F,NR,SI	: 	4 	2 	4 	3 	2 	2 	3 	3 	3 
ICCS0101,PER_CNV,F,NR,SK	4 	3 	1 	6 	5 	5 	5 	1 	5 	5 
ICCS0101,PER_CNV,F,NR,TR	: 	205 	213 	238 	260 	523 	396 	481 	480 	: 
ICCS0101,PER_CNV,F,NR,UKC-L	: 	24 	14 	25 	28 	32 	23 	18 	20 	24 
ICCS0101,PER_CNV,F,NR,UKM	3 	3 	2 	1 	4 	2 	4 	6 	4 	4 
ICCS0101,PER_CNV,F,NR,UKN	: 	1 	0 	0 	0 	1 	2 	1 	2 	0 
ICCS0101,PER_CNV,F,NR,XK	1 	1 	1 	1 	1 	2 	4 	3 	4 	2 
ICCS0101,PER_CNV,F,P_HTHAB,AL	0.14 	0.21 	0.35 	0.21 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,F,P_HTHAB,AT	0.04 	0.09 	0.09 	0.09 	0.12 	0.09 	0.07 	0.07 	0.07 	0.14 
ICCS0101,PER_CNV,F,P_HTHAB,BA	: 	: 	: 	: 	: 	0.31 	0.31 	: 	: 	: 
ICCS0101,PER_CNV,F,P_HTHAB,BE	: 	: 	0.46 	0.35 	0.39 	0.37 	0.59 	0.43 	: 	: 
ICCS0101,PER_CNV,F,P_HTHAB,BG	0.05 	0.14 	0.14 	0.22 	0.29 	0.27 	0.19 	0.34 	0.23 	0.23 
ICCS0101,PER_CNV,F,P_HTHAB,CH	0.05 	0.12 	0.12 	0.02 	0.10 	0.12 	0.18 	0.18 	0.18 	0.13 
ICCS0101,PER_CNV,F,P_HTHAB,CY	0.68 	0.00 	0.00 	0.00 	0.00 	0.23 	0.00 	0.48 	0.00 	0.25 
ICCS0101,PER_CNV,F,P_HTHAB,CZ	0.24 	0.32 	0.26 	0.39 	0.34 	0.24 	0.43 	0.36 	0.21 	0.28 
ICCS0101,PER_CNV,F,P_HTHAB,DE	0.10 	0.07 	0.09 	0.08 	0.07 	0.07 	0.09 	0.09 	0.11 	: 
ICCS0101,PER_CNV,F,P_HTHAB,DK	0.10 	0.14 	0.11 	0.21 	0.14 	0.11 	0.07 	0.21 	0.04 	0.04 
ICCS0101,PER_CNV,F,P_HTHAB,EE	1.00 	0.29 	0.57 	0.57 	1.14 	0.42 	0.28 	0.42 	: 	: 
ICCS0101,PER_CNV,F,P_HTHAB,ES	0.10 	0.11 	0.12 	0.08 	0.05 	0.04 	: 	: 	: 	: 
ICCS0101,PER_CNV,F,P_HTHAB,FI	0.14 	0.14 	0.29 	0.25 	0.51 	0.25 	0.47 	0.26 	0.52 	0.26 
ICCS0101,PER_CNV,F,P_HTHAB,FR	0.15 	0.17 	0.14 	0.13 	0.14 	0.16 	0.17 	0.24 	0.20 	0.24 
ICCS0101,PER_CNV,F,P_HTHAB,HR	0.42 	0.42 	0.05 	0.09 	0.36 	0.27 	0.23 	0.13 	0.18 	0.04 
ICCS0101,PER_CNV,F,P_HTHAB,HU	0.62 	0.60 	0.45 	0.60 	0.39 	0.23 	0.36 	0.34 	0.51 	0.51 
ICCS0101,PER_CNV,F,P_HTHAB,IS	: 	0.00 	0.61 	: 	0.00 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,F,P_HTHAB,IT	0.08 	0.09 	0.09 	0.05 	0.07 	0.04 	0.05 	0.08 	0.06 	0.05 
ICCS0101,PER_CNV,F,P_HTHAB,LT	0.85 	0.77 	0.63 	1.26 	1.37 	1.42 	1.09 	0.95 	0.70 	1.33 
ICCS0101,PER_CNV,F,P_HTHAB,LU	: 	0.70 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,F,P_HTHAB,LV	0.76 	0.85 	0.93 	1.20 	1.64 	0.63 	0.53 	1.13 	0.51 	0.68 
ICCS0101,PER_CNV,F,P_HTHAB,ME	0.00 	0.32 	0.32 	0.64 	1.59 	0.00 	0.00 	0.00 	0.00 	: 
ICCS0101,PER_CNV,F,P_HTHAB,MK	: 	: 	: 	0.10 	0.19 	0.19 	0.19 	0.20 	0.20 	0.10 
ICCS0101,PER_CNV,F,P_HTHAB,MT	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
ICCS0101,PER_CNV,F,P_HTHAB,NL	0.51 	0.40 	0.47 	0.48 	0.70 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,F,P_HTHAB,NO	: 	0.08 	0.27 	0.04 	0.20 	0.12 	0.00 	0.08 	0.00 	0.08 
ICCS0101,PER_CNV,F,P_HTHAB,PT	0.11 	0.13 	0.24 	0.22 	0.31 	0.15 	0.18 	0.11 	0.20 	0.15 
ICCS0101,PER_CNV,F,P_HTHAB,RO	0.66 	: 	0.48 	0.45 	0.54 	0.32 	0.45 	0.44 	0.62 	0.50 
